﻿"UKPRN","HE provider","Total energy consumption (kWh)","Total fuel used in HE provider owned vehicles (litres)","Total generation of electricity exported to grid (kWh)","Total water consumption (m3)","Total renewable energy generated onsite or offsite (kWh)"
"10007783","The University of Aberdeen","156,928,094.000","15,516.790","0.000","191,189.920","7,253.000"
"10007849","Abertay University","9,224,180.000","3,293.320","0.000","13,983.000","0.000"
"10007856","Aberystwyth University","40,529,384.000","121,782.000","6,707.000","159,903.000","6,707.000"
"10000291","Anglia Ruskin University","30,028,101.483","12,873.060","21,516.850","64,667.141","43,033.700"
"10007759","Aston University","30,164,676.000","5,792.000","0.000","63,778.000","42,439.000"
"10007857","Bangor University","36,993,083.254","66,397.108","0.000","156,762.630","33,424.600"
"10000571","Bath Spa University","13,488,281.000","11,986.000","0.000","70,160.000","1,723,848.000"
"10007850","The University of Bath","73,299,782.450","12,179.820","0.000","305,090.000","97,978.000"
"10007152","University of Bedfordshire","21,004,488.350","7,735.450","0.000","45,212.000","113,688.900"
"10005343","Queen's University Belfast","90,972,806.000","18,643.000","0.000","257,734.000",""
"10007760","Birkbeck College","10,694,561.000","0.000","0.000","34,068.000","0.000"
"10007140","Birmingham City University","36,274,623.000","3,182.129","0.000","69,566.200","19,722.000"
"10006840","The University of Birmingham","183,605,142.000","90,928.000","407,000.000","514,775.000","84,500.000"
"10000712","University College Birmingham","13,429,883.000","3,800.000","0.000","84,017.570","0.000"
"10007832","Birmingham Newman University","3,962,478.000","500.000","0.000","14,698.000","71,101.000"
"10007811","Bishop Grosseteste University","1,669,552.000","7,062.050","13,371.000","3,616.140","13,371.000"
"10006841","The University of Bolton","10,410,211.050","2,800.000","0.000","37,301.000","15,658.210"
"10000385","The Arts University Bournemouth","5,359,053.320","4,445.000","0.000","20,690.000","7,400.000"
"10000824","Bournemouth University","19,238,351.000","4,765.870","0.000","79,407.000","976,899.000"
"10007785","The University of Bradford","24,750,680.350","5,966.000","891,357.000","74,248.000","854,947.000"
"10000886","The University of Brighton","35,943,620.800","16,061.210","0.000","122,616.000","309,792.000"
"10000936","The University College of Osteopathy","1,065,645.000","0.000","0.000","3,317.918",""
"10007786","The University of Bristol","147,845,436.000","82,614.000","0.000","354,088.000","409,919.000"
"10000961","Brunel University London","63,365,682.000","14,441.000","0.000","433,646.000","0.000"
"10000975","Buckinghamshire New University","11,593,745.000","6,354.800","0.000","39,377.840","105,079.000"
"10007788","The University of Cambridge","230,727,155.000","107,468.000","0.000","332,580.000","1,001,114.000"
"10003324","The Institute of Cancer Research","24,300,760.000","549.700","0.000","28,262.000","30,969.000"
"10001143","Canterbury Christ Church University","23,742,095.000","19,366.480","0.000","135,340.000","52,076.000"
"10007814","Cardiff University","113,464,934.970","38,158.660","0.000","366,438.000","92,120.000"
"10007854","Cardiff Metropolitan University","16,352,882.000","9,704.000","25.000","66,361.000","25,147.000"
"10007141","The University of Central Lancashire","40,161,119.977","21,688.700","0.000","100,036.518","685,232.000"
"10007848","University of Chester","44,905,757.000","44,194.350","0.000","128,031.000","373,405.000"
"10007137","The University of Chichester","10,434,740.400","5,424.470","0.000","58,122.000",""
"10001478","City, University of London","29,561,850.000","1,095.000","0.000","46,195.000","14,332.000"
"10001653","Conservatoire for Dance and Drama","6,731,592.160","1,647.560","0.000","19,895.533","1.000"
"10007761","Courtauld Institute of Art","1,964,856.000","0.000","0.000","14,197.490","0.000"
"10001726","Coventry University","44,483,217.900","20,859.100","0.000","81,432.000","160,380.000"
"10007822","Cranfield University","45,995,195.000","87,895.000","0.000","167,833.000","10,000.000"
"10006427","University for the Creative Arts","13,772,467.000","1,420.000","0.000","63,332.000","6,111.000"
"10007842","University of Cumbria","18,153,286.000","10,951.060","0.000","34,722.000","0.000"
"10001883","De Montfort University","32,227,623.600","6,176.000","0.000","61,523.140","106,333.600"
"10007851","University of Derby","33,872,809.000","27,734.000","0.000","117,695.000","114,769.000"
"10007852","The University of Dundee","85,822,824.000","","6,519.000","171,024.000","13,038.000"
"10007143","University of Durham","113,078,399.000","68,346.435","0.000","475,893.000","268,005.000"
"10007789","The University of East Anglia","82,060,984.000","22,369.000","0.000","306,713.000","139,480.000"
"10007144","The University of East London","20,053,376.290","3,422.650","5,432.000","103,504.104","108,297.690"
"10007823","Edge Hill University","26,328,865.000","6,271.000","0.000","117,703.000","29,298.000"
"10007772","Edinburgh Napier University","18,849,968.000","12,099.790","0.000","28,941.100","27,255.000"
"10007790","The University of Edinburgh","244,235,067.780","116,745.000","0.000","581,265.000","34,300.000"
"10007791","The University of Essex","43,567,858.000","13,951.086","0.000","232,353.990","74,383.000"
"10007792","The University of Exeter","67,381,596.617","70,575.660","0.000","242,980.000","374,359.100"
"10008640","Falmouth University","13,858,608.350","1,314.000","29,280.000","48,305.000","47,780.000"
"10004511","The National Film and Television School","2,604,229.000","1,375.540","0.000","4,919.000",""
"10007762","Glasgow Caledonian University","25,946,056.000","3,051.000","0.000","43,259.000","4,180,892.000"
"10002681","Glasgow School of Art","10,395,535.000","484.520","0.000","16,787.000","0.000"
"10007794","The University of Glasgow","145,547,667.120","84,163.000","0.000","293,793.000","304,006.000"
"10007145","University of Gloucestershire","9,414,020.000","5,172.550","0.000","29,850.000","33,686.000"
"10002718","Goldsmiths College","15,655,134.702","1,862.280","35,744.085","58,545.000","93,330.880"
"10007146","The University of Greenwich","30,207,336.000","14,842.000","0.000","94,414.000","37,110.000"
"10007825","Guildhall School of Music and Drama","3,848,389.000","172.000","0.000","30,785.000",""
"10040812","Harper Adams University","11,444,128.500","11,694.000","0.000","84,745.435",""
"10007764","Heriot-Watt University","59,602,522.580","64,622.470","0.000","355,131.000","4,858.000"
"10007147","University of Hertfordshire","49,623,132.503","1,634,380.000","0.000","325,255.260",""
"10007148","The University of Huddersfield","27,400,171.000","8,878.060","0.000","49,566.000","3,172.000"
"10007149","The University of Hull","57,180,602.600","20,843.010","0.000","222,154.000","196,063.600"
"10003270","Imperial College of Science, Technology and Medicine","235,777,468.000","3,181.000","0.000","673,872.000","10,769.000"
"10007767","Keele University","39,968,039.000","21,050.000","0.000","369,472.000","171,650.000"
"10007150","The University of Kent","56,671,971.213","24,037.280","0.000","263,870.140","32,253.030"
"10003645","King's College London","132,939,408.300","35,636.000","0.000","338,627.310","143,142.000"
"10003678","Kingston University","34,236,199.755","6,868.510","0.000","237,955.000","5,974.000"
"10007768","The University of Lancaster","80,447,028.264","21,808.445","120,700.000","429,869.000","6,392,289.000"
"10003854","Leeds Arts University","2,874,497.000","683.547","0.000","9,524.000",""
"10003861","Leeds Beckett University","36,604,011.530","20,300.000","0.000","98,997.000","109,909.530"
"10007795","The University of Leeds","161,479,380.033","55,085.840","3.000","758,873.170","139,285.000"
"10003863","Leeds Trinity University","8,972,039.800","1,011.000","2,350.000","38,781.000","6,054.000"
"10007796","The University of Leicester","96,368,976.812","31,477.340","0.000","307,486.396","782,874.000"
"10007151","The University of Lincoln","27,569,818.000","6,674.000","0.000","73,139.000","8,539.000"
"10003956","Liverpool Hope University","16,369,917.000","5,175.000","0.000","69,408.803","21,976.000"
"10003957","Liverpool John Moores University","31,769,079.320","20,873.160","0.000","56,297.000","7,035.320"
"10003945","The Liverpool Institute for Performing Arts","3,096,166.000","0.000","0.000","5,745.000","0.000"
"10006842","The University of Liverpool","236,895,642.000","40,039.000","0.000","320,914.000","93,197.000"
"10003958","Liverpool School of Tropical Medicine","6,295,311.380","0.000","9,407.965","9,312.900","9,407.965"
"10007162","University of the Arts, London","33,972,767.361","0.000","0.000","174,917.925","0.000"
"10007769","London Business School","9,742,129.000","0.000","0.000","37,518.000",""
"10007797","University of London (Institutes and activities)","26,933,386.000","0.000","0.000","222,107.480",""
"10004048","London Metropolitan University","17,794,234.170","1,174.000","0.000","48,566.700","42,518.500"
"10004078","London South Bank University","23,196,176.080","656.000","0.000","160,502.319","683,551.000"
"10004063","London School of Economics and Political Science","36,226,210.000","0.000","0.000","216,110.000","100,511.100"
"10007771","London School of Hygiene and Tropical Medicine","11,715,205.000","65.000","0.000","35,455.000",""
"10004113","Loughborough University","85,644,601.000","43,410.570","0.000","347,443.000","0.000"
"10004180","The Manchester Metropolitan University","52,096,877.000","11,706.590","0.000","164,464.043","186,184.000"
"10007798","The University of Manchester","233,912,862.000","58,195.640","0.000","807,247.488","67,748.000"
"10004351","Middlesex University","22,893,248.000","10,113.000","0.000","30,061.000","71,894.000"
"10007799","Newcastle University","119,570,237.000","145,151.220","0.000","335,297.000","39,927.000"
"10007138","The University of Northampton","25,461,272.000","8,685.000","0.000","103,919.000","29,816.000"
"10001282","University of Northumbria at Newcastle","51,842,959.000","6,976.000","0.000","230,592.000","181,561.000"
"10004775","Norwich University of the Arts","3,087,078.000","283.800","0.000","6,934.000","0.000"
"10007154","University of Nottingham","199,062,833.000","69,924.000","0.000","805,338.000","757,288.000"
"10004797","The Nottingham Trent University","45,688,931.924","45,252.740","0.000","100,656.341","1,335,011.403"
"10007773","The Open University","35,327,256.000","17,436.600","0.000","56,809.000","177,924.000"
"10004930","Oxford Brookes University","47,700,895.574","22,466.100","0.000","218,600.000","52,348.000"
"10007774","The University of Oxford","193,620,918.640","117,911.000","0.000","259,901.000","242,401.000"
"10005127","Arts University Plymouth","2,955,060.420","2,692.740","0.000","5,904.000","16,803.420"
"10007801","University of Plymouth","27,470,825.000","11,146.000","0.000","79,627.000","129,500.000"
"10007155","The University of Portsmouth","38,814,524.067","16,476.520","0.000","160,894.905","0.000"
"10005337","Queen Margaret University, Edinburgh","12,713,373.000","824.510","0.000","51,206.000","7,501,066.000"
"10007775","Queen Mary University of London","69,051,422.000","2,754.000","0.000","167,001.490","37,376.000"
"10005389","Ravensbourne University London","4,501,448.470","0.000","0.000","3,583.880",""
"10007802","The University of Reading","45,874,266.602","46,466.380","0.000","168,213.100","104,997.070"
"10005500","Robert Gordon University","26,326,408.557","4,119.390","0.000","109,606.000","28,843.000"
"10007776","Roehampton University","23,178,139.450","7,042.980","0.000","117,752.628","0.000"
"10005523","Rose Bruford College of Theatre and Performance","2,568,383.000","0.000","0.000","7,025.000","1.000"
"10007835","Royal Academy of Music","2,969,788.530","2,404.200","0.000","7,840.000","0.000"
"10005545","Royal Agricultural University","4,336,554.489","9,247.340","14,421.500","21,583.610","558,285.182"
"10007777","Royal College of Art","8,906,167.000","0.000","0.000","21,870.000","0.000"
"10007778","Royal College of Music","3,927,231.000","0.000","0.000","9,216.000",""
"10007816","The Royal Central School of Speech and Drama","2,025,338.600","0.000","0.000","5,260.000",""
"10005553","Royal Holloway and Bedford New College","41,957,276.000","19,160.000","0.000","141,279.180","12,033.000"
"10007837","Royal Northern College of Music","4,104,435.000","0.000","0.000","4,408.000","0.000"
"10007779","The Royal Veterinary College","21,542,952.000","0.000","0.000","137,047.000","0.000"
"10007803","The University of St. Andrews","80,995,416.000","51,662.000","0.000","324,960.000","75,729.000"
"10007782","St George's, University of London","26,103,248.481","0.000","0.000","111,014.000","0.000"
"10008026","St Mary's University College","2,119,940.580","402.260","0.000","1,951.000",""
"10007843","St Mary's University, Twickenham","10,835,467.910","3,434.913","648.000","40,550.445",""
"10007156","The University of Salford","31,857,035.000","11,499.200","0.000","100,940.000","0.000"
"10007780","SOAS University of London","6,858,919.000","0.000","0.000","23,992.000","19,410.000"
"10005700","SRUC","","","","",""
"10005790","Sheffield Hallam University","37,187,095.000","11,567.050","0.000","91,153.000","31,144.000"
"10007157","The University of Sheffield","131,770,558.000","50,217.450","35,000.000","464,574.260","1,789,643.000"
"10006022","Solent University","17,007,557.530","17,891.230","0.000","85,074.200","0.000"
"10007158","The University of Southampton","111,501,319.546","82,239.000","0.000","502,985.821",""
"10006299","Staffordshire University","22,373,519.000","15,624.690","0.000","60,567.000","22,053.000"
"10007804","The University of Stirling","47,912,543.000","27,592.000","0.000","231,363.000","866,760.000"
"10037449","University of St Mark and St John","8,564,224.000","107.880","0.000","32,857.000","0.000"
"10008010","Stranmillis University College","8,306,003.600","2,467.000","0.000","16,340.000","0.000"
"10007805","The University of Strathclyde","99,477,309.500","13,282.000","0.000","170,751.000",""
"10014001","University of Suffolk","5,884,729.000","164.000","0.000","13,857.000","0.000"
"10007159","The University of Sunderland","22,991,666.000","12,831.600","0.000","80,916.000","0.000"
"10007160","The University of Surrey","81,364,605.542","32,640.795","0.000","426,365.914","1,189,193.000"
"10007806","The University of Sussex","65,712,385.522","166.850","0.000","762,991.802","111,000.000"
"10007855","Swansea University","65,988,288.000","3,811.000","0.000","284,461.000","667,328.000"
"10007161","Teesside University","24,610,232.000","7,016.300","0.000","56,690.000","21,137.000"
"10008017","Trinity Laban Conservatoire of Music and Dance","4,398,529.450","1,456.150","0.000","8,871.574","0.000"
"10007858","University of Wales Trinity Saint David","25,628,134.000","7,736.220","0.000","63,604.000","5,783.000"
"10007114","University of the Highlands and Islands","23,851,305.000","","0.000","41,025.000",""
"10007807","Ulster University","47,057,607.965","12,624.360","54,160.000","79,742.000","1,701,856.000"
"10007784","University College London","228,906,545.151","5,683.000","0.000","518,375.751","13,950.000"
"10007793","University of South Wales","35,520,884.900","20,462.730","0.000","128,841.000","1,381.000"
"10007163","The University of Warwick","156,889,866.067","123,258.000","104,521.000","563,182.433","152,484.940"
"10007164","University of the West of England, Bristol","58,317,065.851","45,177.530","0.000","340,460.000","361,881.000"
"10007800","The University of the West of Scotland","28,834,228.217","10,956.970","0.000","80,931.000",""
"10006566","The University of West London","10,475,063.000","3,157.000","0.000","22,502.090","22,091.000"
"10007165","The University of Westminster","33,834,490.700","2,032.210","0.000","124,921.850","0.000"
"10003614","The University of Winchester","10,886,719.000","9,897.000","0.000","72,431.000","58,159.000"
