﻿"UKPRN","HE provider","Total energy consumption (kWh)","Total fuel used in HE provider owned vehicles (litres)","Total generation of electricity exported to grid (kWh)","Total water consumption (m3)","Total renewable energy generated onsite or offsite (kWh)"
"10007783","The University of Aberdeen","71,370,425.206","14,943.740","0.000","126,104.886","146,413.600"
"10007849","Abertay University","8,613,151.000","1,600.000","0.000","9,459.000","0.000"
"10007856","Aberystwyth University","42,374,990.950","44,879.640","0.000","257,117.620","33,361.250"
"10000291","Anglia Ruskin University","24,653,079.581","9,545.168","42,099.215","73,507.560","84,198.431"
"10007759","Aston University","27,496,013.100","8,730.800","0.000","60,353.000","41,155.100"
"10007857","Bangor University","34,776,598.802","31,900.375","0.000","120,034.650","73,574.060"
"10000571","Bath Spa University","12,509,530.000","12,802.000","0.000","60,974.000","2,403,925.000"
"10007850","The University of Bath","85,504,486.191","14,737.996","0.000","296,926.040","150,704.000"
"10007152","University of Bedfordshire","16,787,243.000","2,315.386","0.000","31,042.000","132,583.000"
"10005343","Queen's University Belfast","99,621,645.000","13,345.000","0.000","334,090.000",""
"10007760","Birkbeck College","11,025,608.000","0.000","0.000","22,495.000","0.000"
"10007140","Birmingham City University","39,450,317.000","2,029.000","0.000","70,586.000","80,322.000"
"10006840","The University of Birmingham","201,996,694.000","59,561.500","32,000.000","406,232.000","260,229.000"
"10007811","Bishop Grosseteste University","4,152,503.380","4,354.400","0.000","23,751.970","10,279.100"
"10000385","The Arts University Bournemouth","6,223,123.107","4,642.050","0.000","22,417.500","72,711.800"
"10000824","Bournemouth University","18,158,424.000","959.490","0.000","32,852.000","1,933,392.000"
"10007785","The University of Bradford","37,663,685.830","7,187.900","79,838.000","69,469.000","40,000.000"
"10000886","The University of Brighton","37,774,435.720","13,495.550","0.000","113,573.000","497,168.000"
"10007786","The University of Bristol","135,204,996.000","38,600.000","0.000","336,060.000","12,028,240.000"
"10000961","Brunel University London","51,366,116.800","13,637.200","0.000","510,600.076","4,716,500.000"
"10000975","Buckinghamshire New University","12,472,504.000","2,570.000","0.000","53,831.000","126,881.000"
"10007788","The University of Cambridge","260,058,915.000","89,645.000","0.000","367,600.000","25,099,976.000"
"10003324","The Institute of Cancer Research","26,568,618.000","84.220","0.000","27,807.000","66,074.000"
"10001143","Canterbury Christ Church University","21,700,930.600","8,740.000","0.000","90,700.000",""
"10007814","Cardiff University","129,597,910.819","28,515.760","0.000","307,887.650","283,826.006"
"10007854","Cardiff Metropolitan University","14,814,158.000","1,979.000","0.000","73,687.000","36,119.000"
"10007141","The University of Central Lancashire","49,289,051.004","24,590.650","0.000","59,620.000","139,113.684"
"10007848","University of Chester","50,403,309.000","25,769.000","0.000","36,921.980","331,354.000"
"10007137","The University of Chichester","11,329,210.000","3,876.000","0.000","40,318.170","43,267.000"
"10001478","City, University of London","35,386,176.072","641.000","0.000","33,302.950",""
"10001726","Coventry University","61,067,730.860","16,410.830","0.000","215,790.980","325,649.000"
"10007822","Cranfield University","46,555,011.284","57,280.200","0.000","160,580.164","3,374,860.051"
"10006427","University for the Creative Arts","16,448,068.780","0.000","0.000","57,956.000","1,386,000.000"
"10007842","University of Cumbria","13,833,525.500","7,450.000","0.000","30,266.100","0.000"
"10001883","De Montfort University","32,827,900.000","6,552.590","0.000","57,543.000","205,564.000"
"10007851","University of Derby","25,410,335.000","13,149.110","0.000","93,335.000","48,770.820"
"10007852","The University of Dundee","","0.000","","115,357.000","13,000.000"
"10007143","University of Durham","108,498,912.150","28,365.000","0.000","356,219.394","355,320.000"
"10007789","The University of East Anglia","79,317,607.000","22,759.000","94,000.000","213,500.000","240,497.000"
"10007144","The University of East London","24,472,769.000","2,921.020","0.000","139,643.000","73,411.000"
"10007772","Edinburgh Napier University","16,421,015.000","7,077.000","0.000","18,355.100","27,528.000"
"10007790","The University of Edinburgh","282,159,945.000","66,068.470","0.000","381,250.000","235,687.000"
"10007791","The University of Essex","55,501,074.000","20,310.520","0.000","167,724.000","554,958.000"
"10007792","The University of Exeter","74,565,775.075","42,714.330","0.000","406,031.114","3,137,735.588"
"10008640","Falmouth University","14,009,007.600","9,261.640","0.000","44,207.000","55,000.000"
"10004511","The National Film and Television School","2,573,157.000","6,136.000","0.000","4,473.000","0.000"
"10007762","Glasgow Caledonian University","22,237,675.000","1,217.590","0.000","18,754.000","0.000"
"10002681","Glasgow School of Art","9,764,408.000","429.610","0.000","13,652.000","0.000"
"10007794","The University of Glasgow","141,624,710.935","55,060.000","0.000","269,576.000","21,982.770"
